,personid,expgroup,join,costofcommute,livewparents,married,perform10,perform11
0,4448,0,1,10.0,0.0,1.0,0.45590964,0.48866156
1,6362,0,0,12.0,0.0,1.0,0.655319,-0.6200626
2,6364,0,1,12.0,0.0,1.0,1.4090424,-0.17028235
3,7068,0,0,0.0,0.0,1.0,0.27069876,-0.9988539
4,7076,0,1,0.0,0.0,1.0,0.0015328284,0.27479738
5,7720,0,1,9.0,1.0,0.0,-0.68709767,-0.4546684
6,8522,0,1,6.0,0.0,1.0,0.23950015,0.06838997
7,8834,0,0,0.0,0.0,0.0,0.32067874,0.82531834
8,9710,0,0,10.0,0.0,1.0,-0.7188639,-0.08590863
9,11348,0,0,8.0,1.0,1.0,-0.845071,-0.8867802
10,11390,0,1,25.0,1.0,1.0,0.8765271,0.5659154
11,12306,0,0,14.0,1.0,0.0,-0.8903129,-0.9133242
12,12426,0,0,0.0,0.0,1.0,-0.69657344,-3.0309365
13,12896,0,0,10.0,1.0,1.0,0.34794605,0.20738654
14,13710,0,1,5.0,0.0,1.0,0.34256855,0.03576275
15,13980,0,0,6.0,0.0,0.0,0.7973299,0.71896964
16,14374,0,1,10.0,1.0,0.0,-0.050977934,-0.07639328
17,14382,0,1,10.0,0.0,1.0,0.66237736,0.995797
18,14384,0,1,8.0,1.0,0.0,0.032493778,0.23839492
19,14556,0,0,10.0,0.0,1.0,1.0712498,1.2178748
20,15444,0,1,11.818182,0.0,1.0,0.088463545,-0.06383847
21,16424,0,1,6.0,1.0,0.0,0.050123475,-0.55050856
22,16594,0,0,20.0,1.0,1.0,0.71361494,0.2002901
23,17160,0,0,10.0,0.0,1.0,0.46139476,0.27835277
24,17172,0,1,12.0,1.0,0.0,0.4011062,-0.6893083
25,17812,0,0,12.0,0.0,1.0,-0.19020593,-0.4270409
26,18494,0,0,15.0,1.0,0.0,-0.5006782,-0.42123133
27,19470,0,0,0.0,0.0,0.0,0.011098285,0.5048908
28,21604,0,0,16.0,1.0,0.0,-0.14736283,0.07015803
29,21648,0,1,3.5,1.0,1.0,-0.57803303,-0.8759282
30,22022,0,0,4.0,1.0,0.0,0.61049986,-0.70168906
31,23126,0,0,6.0,0.0,0.0,1.1817473,0.62603754
32,24146,0,1,12.0,1.0,0.0,-0.6667007,-1.0818157
33,25056,0,1,2.0,0.0,0.0,-0.2744104,-0.17747682
34,25258,0,0,4.0,1.0,0.0,-0.13678674,-0.20638765
35,25864,0,0,0.0,0.0,0.0,0.5322725,0.8129766
36,27704,0,0,4.0,0.0,0.0,0.42826033,0.25943702
37,28190,0,1,10.0,1.0,0.0,0.08554956,-0.32081997
38,28224,0,0,0.0,1.0,1.0,0.10593522,-0.06665947
39,29172,0,1,9.0,1.0,0.0,0.634947,0.5122012
40,29248,0,0,10.0,1.0,1.0,-0.8149527,-0.86310875
41,29996,0,0,5.0,0.0,1.0,-0.26659715,-0.7092723
42,31136,0,0,8.0,1.0,0.0,-0.104429536,-0.44534174
43,31888,0,1,8.0,0.0,1.0,0.9744558,0.7477034
44,33128,0,1,10.0,0.0,0.0,-0.2512566,-0.13933943
45,33278,0,1,12.0,1.0,0.0,-0.3152424,-0.14533153
46,33354,0,0,4.0,1.0,0.0,0.37143752,0.08003516
47,36288,0,0,0.0,1.0,0.0,0.41313937,-0.1407827
48,36314,0,0,4.0,0.0,0.0,0.51428294,0.6280993
49,37292,0,0,10.0,1.0,0.0,0.014250415,-0.19934969
50,37798,0,0,0.0,0.0,0.0,-0.047367483,-0.58798313
51,37812,0,0,12.0,0.0,0.0,0.40975997,-0.04509231
52,37828,0,0,10.0,1.0,0.0,-0.37779152,-0.4915036
53,38046,0,0,10.0,1.0,0.0,-0.37941298,-0.68866265
54,39144,0,0,4.0,1.0,0.0,0.20614433,0.10961834
55,39164,0,0,8.0,1.0,0.0,-0.21772946,-0.046197828
56,39458,0,0,10.0,1.0,0.0,-0.31212568,-0.082317956
57,39466,0,0,6.0,1.0,0.0,-0.15133192,-0.2186773
58,39490,0,1,10.0,1.0,0.0,0.5906688,0.3536315
59,39748,0,0,0.0,1.0,1.0,0.41374972,0.22876363
60,40162,0,0,6.0,0.0,0.0,0.14284535,-0.07942255
61,40336,0,0,6.0,1.0,0.0,-0.5590729,-0.8288269
62,40456,0,0,12.0,0.0,0.0,0.26799712,0.15323302
63,42140,0,0,15.0,0.0,1.0,-0.07073494,1.0102578
64,42146,0,1,4.0,1.0,0.0,-0.04130923,0.042883005
65,42152,0,0,20.0,1.0,0.0,0.17874916,0.10926608
66,42632,0,0,12.0,1.0,0.0,0.122516744,-0.19964962
67,43258,0,0,8.0,1.0,0.0,-0.8111794,-0.6539687
68,43500,0,1,10.0,0.0,1.0,0.27930355,1.2993494
69,43570,0,1,12.0,1.0,0.0,-0.8791104,-0.93861705
70,44282,0,0,12.0,1.0,0.0,-0.31786045,-0.30182248
71,44800,0,1,12.0,1.0,0.0,-0.3613501,-0.5427776
72,45254,0,1,4.0,1.0,0.0,-1.1018978,-1.1610111
73,45442,0,0,0.0,1.0,0.0,-0.9931348,-1.0208093
