,wageq,wfh,wagp,wagemin,wagemax
0,1,0.034980785,6055.91797416974,4.0,10000.0
1,2,0.027589153,13197.767182170972,10100.0,15700.0
2,3,0.023083214,19150.671214237984,15800.0,22000.0
3,4,0.02216558,25281.373651098413,22100.0,28000.0
4,5,0.021587763,31811.829181678087,28100.0,35000.0
5,6,0.023184007,38637.5912562035,35100.0,41000.0
6,7,0.024119375,46541.47837657789,41100.0,50000.0
7,8,0.024854843,58200.77686432707,51000.0,65000.0
8,9,0.03737817,77241.78798876147,66000.0,90000.0
9,10,0.05724576,155009.11333728864,91000.0,569000.0
